District	Democratic Party Democrat	Republican Party Republican	Other
1	Sam Davis: 12,240	Bob Steinburg: 25,363 (I) Approved	
2	Joe Parrish: 14,775	Larry Yarborough: 22,760 (I) Approved	
3	Marva Fisher Baldwin: 12,638	Michael Speciale: 23,273 (I) Approved	
4	No candidate	James Dixon (I) Approved	
5	Howard Hunter III (I) Approved	No candidate	
6	Warren Judge: 20,471	Beverly Boswell: 22,022  Approved	
7	Bobbie Richardson: 23,329 (I) Approved	William Duke Hancock II: 11,072	
8	Charlie Pat Farris: 21,166	Susan Martin: 21,329 (I) Approved	
9	Brian Farkas: 17,007	Gregory Murphy: 22,869 (I) Approved	
10	Evelyn Paul: 10,514	John Bell: 26,440 (I) Approved	
11	Duane Hall: 24,624 (I) Approved	Ray Martin: 12,924	Brian Lewis: 2,897 (L)
12	George Graham (I) Approved	No candidate	
13	Rodney Alexander: 12,024	Patricia McElraft: 29,188 (I) Approved	
14	No candidate	George Cleveland (I) Approved	
15	Dan Whitten: 5,797	Phillip Shepard: 13,273 (I) Approved	
16	Steve Unger: 11,656	Chris Millis: 23,649 (I) Approved	
17	Charles Warren: 16,549	Frank Iler: 32,757 (I) Approved	
18	Susi Hamilton: 22,006 (I) Approved	Jerry Benton: 14,011	
19	No candidate	Ted Davis, Jr. (I) Approved	
20	No candidate	Holly Grange (I) Approved	
21	Larry Bell (I) Approved	No candidate	
22	William Brisson (I) Approved	No candidate	
23	Shelly Willingham (I) Approved	No candidate	
24	Jean Farmer-Butterfield (I) Approved	No candidate	
25	James Gailliard: 13,099	Jeffrey Collins: 27,969 (I) Approved	
26	Rich Nixon: 18,716	Donna McDowell White: 25,899  Approved	
27	Michael Wray (I) Approved	No candidate	
28	Patricia Oliver: 10,897	Larry Strickland: 26,161  Approved	
29	Larry Hall (I) Approved	No candidate	
30	Paul Luebke: 37,094 (I) Approved	Elissa Fuchs: 13,132	
31	Henry Michaux, Jr. (I) Approved	No candidate	
32	Terry Garrison Approved	No candidate	
33	Rosa Gill (I) Approved	No candidate	
34	Grier Martin: 31,335 (I) Approved	Bill Morris: 15,049	
35	Terence Everitt: 22,145	Chris Malone: 25,117 (I) Approved	
36	Jennifer Ferrell: 23,875	Nelson Dollar: 25,295 (I) Approved	Brian Irving: 2,184 (L)
37	Randy Barrow: 22,569	Linda Hunt-Williams: 27,448  Approved	Robert Rose: 2,474 (L)
38	Yvonne Lewis Holley: 28,990 (I) Approved	No candidate	Olen Watson III: 5,196 (L)
39	Darren Jackson (I) Approved	No candidate	
40	Joe John: 23,786  Approved	Marilyn Avila: 23,402 (I)	
41	Gale Adcock: 27,491 (I) Approved	Chris Shoffner: 20,745	
42	Marvin Lucas, Jr. (I) Approved	No candidate	
43	Elmer Floyd (I) Approved	No candidate	
44	William Richardson: 15,433 (I) Approved	Jim Arp: 15,086	
45	No candidate	John Szoka (I) Approved	
46	Tim Benton: 11,836	Brenden Jones: 19,607  Approved	Thomas Howell, Jr.: 1,052 (L)
47	Charles Graham (I) Approved	No candidate	
48	Garland Pierce (I) Approved	No candidate	
49	Cynthia Ball: 26,975  Approved	Gary Pendleton: 26,155 (I)	David Ulmer: 2,299 (L)
50	Graig Meyer: 27,278 (I) Approved	Rod Chaney: 20,347	
