"Party","District","Member","Counties Represented"
"(R)","District 15","John M. Alexander, Jr.","Wake"
"(R)","District 45","Deanna Ballard","Alleghany, Ashe, Avery, Caldwell, Watauga"
"(R)","District 18","Chad Barefoot","Franklin, Wake"
"(R)","District 17","Tamara Barringer","Wake"
"(R)","District 26","Phil Berger","Guilford, Rockingham"
"(R)","District 39","Dan Bishop","Mecklenburg"
"(D)","District 14","Dan Blue","Wake"
"(R)","District 13","Danny Earl Britt, Jr.","Columbus, Robeson"
"(R)","District 34","Andrew C. Brock","Davie, Iredell, Rowan"
"(R)","District 6","Harry Brown","Jones, Onslow"
"(D)","District 4","Angela R. Bryant","Halifax, Nash, Vance, Warren, Wilson"
"(D)","District 16","Jay J. Chaudhuri","Wake"
"(D)","District 21","Ben Clark","Cumberland, Hoke"
"(R)","District 1","Bill Cook","Beaufort, Camden, Currituck, Dare, Gates, Hyde, Pasquotank, Perquimans"
"(R)","District 44","David L. Curtis","Gaston, Iredell, Lincoln"
"(R)","District 46","Warren Daniel","Burke, Cleveland"
"(D)","District 5","Don Davis","Greene, Lenoir, Pitt, Wayne"
"(R)","District 50","Jim Davis","Cherokee, Clay, Graham, Haywood, Jackson, Macon, Swain"
"(R)","District 33","Cathy Dunn","Davidson, Montgomery"
"(R)","District 48","Chuck Edwards","Buncombe, Henderson, Transylvania"
"(D)","District 38","Joel D. M. Ford","Mecklenburg"
"(D)","District 23","Valerie P. Foushee","Chatham, Orange"
"(R)","District 24","Rick Gunn","Alamance, Randolph"
"(R)","District 43","Kathy Harrington","Gaston"
"(R)","District 47","Ralph Hise","Madison, McDowell, Mitchell, Polk, Rutherford, Yancey"
"(R)","District 11","Rick Horner","Johnston, Nash, Wilson"
"(R)","District 10","Brent Jackson","Duplin, Johnston, Sampson"
"(D)","District 37","Jeff Jackson","Mecklenburg"
"(R)","District 31","Joyce Krawiec","Forsyth, Yadkin"
"(R)","District 9","Michael V. Lee","New Hanover"
"(D)","District 32","Paul A. Lowe, Jr.","Forsyth"
"(R)","District 25","Tom McInnis","Anson, Richmond, Rowan, Scotland, Stanly"
"(D)","District 20","Floyd B. McKissick, Jr.","Durham, Granville"
"(R)","District 19","Wesley Meredith","Cumberland"
"(R)","District 36","Paul Newton","Cabarrus, Union"
"(R)","District 7","Louis Pate","Lenoir, Pitt, Wayne"
"(R)","District 12","Ronald J. Rabin","Harnett, Johnston, Lee"
"(R)","District 8","Bill Rabon","Bladen, Brunswick, New Hanover, Pender"
"(R)","District 30","Shirley B. Randleman","Stokes, Surry, Wilkes"
"(D)","District 28","Gladys A. Robinson","Guilford"
"(R)","District 2","Norman W. Sanderson","Carteret, Craven, Pamlico"
"(D)","District 3","Erica Smith-Ingram","Bertie, Chowan, Edgecombe, Hertford, Martin, Northampton, Tyrrell, Washington"
"(R)","District 41","Jeff Tarte","Mecklenburg"
"(R)","District 29","Jerry W. Tillman","Moore, Randolph"
"(R)","District 35","Tommy Tucker","Union"
"(D)","District 49","Terry Van Duyn","Buncombe"
"(D)","District 40","Joyce Waddell","Mecklenburg"
"(R)","District 27","Trudy Wade","Guilford"
"(R)","District 42","Andy Wells","Alexander, Catawba"
"(D)","District 22","Mike Woodard","Caswell, Durham, Person"
